10:46:30 INFO  : Registering command handlers for SDK TCF services
10:46:42 INFO  : Launching XSCT server: xsct.bat -interactive C:\Users\runne\Desktop\Soc_FPGA\7seg\temp_xsdb_launch_script.tcl
10:49:08 INFO  : XSCT server has started successfully.
10:49:08 INFO  : Successfully done setting XSCT server connection channel  
10:49:49 INFO  : Successfully done setting SDK workspace  
10:52:08 INFO  : Project 'project4' created. You can now create BSPs and application projects targeting this hardware platform.
11:25:17 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:25:20 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8B69FA" && level==0} -index 0' command is executed.
11:25:21 INFO  : FPGA configured successfully with bitstream "C:/Users/runne/Desktop/Soc_FPGA/7seg/project4/download.bit"
11:29:13 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:29:13 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8B69FA" && level==0} -index 0' command is executed.
11:29:14 INFO  : FPGA configured successfully with bitstream "C:/Users/runne/Desktop/Soc_FPGA/7seg/project4/download.bit"
11:34:23 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:34:23 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8B69FA" && level==0} -index 0' command is executed.
11:34:24 INFO  : FPGA configured successfully with bitstream "C:/Users/runne/Desktop/Soc_FPGA/7seg/project4/download.bit"
11:37:32 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:37:32 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8B69FA" && level==0} -index 0' command is executed.
11:37:32 INFO  : FPGA configured successfully with bitstream "C:/Users/runne/Desktop/Soc_FPGA/7seg/project4/download.bit"
11:42:45 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:42:45 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8B69FA" && level==0} -index 0' command is executed.
11:42:45 INFO  : FPGA configured successfully with bitstream "C:/Users/runne/Desktop/Soc_FPGA/7seg/project4/download.bit"
11:44:11 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:44:11 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8B69FA" && level==0} -index 0' command is executed.
11:44:12 INFO  : FPGA configured successfully with bitstream "C:/Users/runne/Desktop/Soc_FPGA/7seg/project4/download.bit"
11:47:49 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:47:49 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8B69FA" && level==0} -index 0' command is executed.
11:47:50 INFO  : FPGA configured successfully with bitstream "C:/Users/runne/Desktop/Soc_FPGA/7seg/project4/download.bit"
11:50:37 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:50:38 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8B69FA" && level==0} -index 0' command is executed.
11:50:38 INFO  : FPGA configured successfully with bitstream "C:/Users/runne/Desktop/Soc_FPGA/7seg/project4/download.bit"
11:52:38 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:52:38 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8B69FA" && level==0} -index 0' command is executed.
11:52:38 INFO  : FPGA configured successfully with bitstream "C:/Users/runne/Desktop/Soc_FPGA/7seg/project4/download.bit"
11:53:15 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:53:15 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8B69FA" && level==0} -index 0' command is executed.
11:53:16 INFO  : FPGA configured successfully with bitstream "C:/Users/runne/Desktop/Soc_FPGA/7seg/project4/download.bit"
11:54:48 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:54:48 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8B69FA" && level==0} -index 0' command is executed.
11:54:49 INFO  : FPGA configured successfully with bitstream "C:/Users/runne/Desktop/Soc_FPGA/7seg/project4/download.bit"
11:59:17 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:59:17 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8B69FA" && level==0} -index 0' command is executed.
11:59:18 INFO  : FPGA configured successfully with bitstream "C:/Users/runne/Desktop/Soc_FPGA/7seg/project4/download.bit"
11:59:55 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:59:55 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8B69FA" && level==0} -index 0' command is executed.
11:59:56 INFO  : FPGA configured successfully with bitstream "C:/Users/runne/Desktop/Soc_FPGA/7seg/project4/download.bit"
12:00:32 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:00:32 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8B69FA" && level==0} -index 0' command is executed.
12:00:33 INFO  : FPGA configured successfully with bitstream "C:/Users/runne/Desktop/Soc_FPGA/7seg/project4/download.bit"
12:02:15 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:02:15 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8B69FA" && level==0} -index 0' command is executed.
12:02:16 INFO  : FPGA configured successfully with bitstream "C:/Users/runne/Desktop/Soc_FPGA/7seg/project4/download.bit"
